dataset	threads	seed	random_order_sha256	replay_order_sha256	random_order_inode	replay_order_inode	order_regenerated	random_canonical_pred_sha256	replay_canonical_pred_sha256	random_exact	replay_exact	status
oligo0	20	7d46154162d1eb85cdb1f231a908d76f	3beb0bc32700ec1f26568a74740a6a588f9d50a079dee0357f47dc3c13b228c4	3beb0bc32700ec1f26568a74740a6a588f9d50a079dee0357f47dc3c13b228c4	85353167	85353196	1	04a414fd986b341e41053ceecd989c4040cae67456496fc5f99849016f98ec3c	04a414fd986b341e41053ceecd989c4040cae67456496fc5f99849016f98ec3c	0.9215552523874488	0.9215552523874488	PASS
ncomms19_365dishes	20	34348d0bd58eedafe04aabe12258dd25	5fde85556d56e6b32c808fcbe687259a916ea1cd02223cf156269bcb8dcdba62	5fde85556d56e6b32c808fcbe687259a916ea1cd02223cf156269bcb8dcdba62	85353448	85353476	1	c8f38c17ba21e819d49730b0818e9a55a9dc8f07a2dd3c4462c5b42dd9e99c10	c8f38c17ba21e819d49730b0818e9a55a9dc8f07a2dd3c4462c5b42dd9e99c10	0.985279685966634	0.985279685966634	PASS
binned_nanopore	20	4490c2f3345aad26cf07f7032fd92301	c222ab1a9d1af4aeb1037d0606714e6a5ef895d1965493177cea71e1ce41edbc	c222ab1a9d1af4aeb1037d0606714e6a5ef895d1965493177cea71e1ce41edbc	85353726	85353754	1	38bd39c82670d963613c663a37ee59954170022bac778404da42c1c62a9a4dbd	38bd39c82670d963613c663a37ee59954170022bac778404da42c1c62a9a4dbd	0.9875	0.9875	PASS
microsoft_cnr	20	29427e741956d4dae7e56d9a48e26c94	101a6f446b8fd831de1b18321e3ddf624a09e5e096b5942bc2e9480d4783abdc	101a6f446b8fd831de1b18321e3ddf624a09e5e096b5942bc2e9480d4783abdc	85354004	85354032	1	069af40e56e95fe6b75b8e3ee6b7d0e4b7a21e0c88e05b47f7b5fad6dd135ae9	069af40e56e95fe6b75b8e3ee6b7d0e4b7a21e0c88e05b47f7b5fad6dd135ae9	0.9433092948717948	0.9433092948717948	PASS
trellisbma	20	8135b19435f4baf69200cebce8663a31	af61824515c89871edbadf987e2b6a1da5e9828a89e4acb0981eb0654caeabd6	af61824515c89871edbadf987e2b6a1da5e9828a89e4acb0981eb0654caeabd6	85354282	85354310	1	eada3fec3755816665f185b2e300da6a6293f51109f8049ae1b14999d965ea73	eada3fec3755816665f185b2e300da6a6293f51109f8049ae1b14999d965ea73	0.9720602197206022	0.9720602197206022	PASS
dnaformer_nanopore	20	969cb36acb82e86ae29248bdd121d1c0	c117d71a445cb10cef80e0feeed667384dd52b4192291aa72ea40a60b6875c0c	c117d71a445cb10cef80e0feeed667384dd52b4192291aa72ea40a60b6875c0c	85354560	85354588	1	226195f304ee36753f27ac86384adabdeb4fbc62f88f4641d5a3e6a349ab31ce	226195f304ee36753f27ac86384adabdeb4fbc62f88f4641d5a3e6a349ab31ce	0.987524550811086	0.987524550811086	PASS
dnaformer_illumina	20	347623f79bd6b0d704a53d8ad3cec129	f32378b6b2181466ddef617a1963b295b28cf89d33e7ad9434746103b6ad36d4	f32378b6b2181466ddef617a1963b295b28cf89d33e7ad9434746103b6ad36d4	85354838	85354866	1	557b115aafec7562cf3465cc3d2d5fedebc28b7218381fb2a9913b199d9e6508	557b115aafec7562cf3465cc3d2d5fedebc28b7218381fb2a9913b199d9e6508	0.9991541148220913	0.9991541148220913	PASS
zenodo10943282	20	7dc5789b8602ccdd10543e318cddb7c3	7ce55e94d0b99bd1a8ac69ce3e814123723028bb0ebdb3c43de6bc87b5952a2f	7ce55e94d0b99bd1a8ac69ce3e814123723028bb0ebdb3c43de6bc87b5952a2f	85355158	85355186	1	ee320c9ecdbfd1fbcd4264a735c7ac04d9a2c5be681b9a2297ceabcef951d685	ee320c9ecdbfd1fbcd4264a735c7ac04d9a2c5be681b9a2297ceabcef951d685	0.9588301165931098	0.9588301165931098	PASS
err1816980_fountain	20	202a51ddef09ce82e632edc8b421f6ae	e362313341e6872c1b0c52778e2632cc7ac18da69d5946a6f5d481fe3bcac678	e362313341e6872c1b0c52778e2632cc7ac18da69d5946a6f5d481fe3bcac678	85355438	85355466	1	fd6beb83491f6ce71af4ef037960754d50be356fbd86c7404ebae63751b056a0	fd6beb83491f6ce71af4ef037960754d50be356fbd86c7404ebae63751b056a0	0.9997222222222222	0.9997222222222222	PASS
err1816980_official	20	0b00226c33413c9fbd05a71135e678d8	05c20bfff1e01c81d2bc676817167fce5034e93eab4ac464bad1377e93d24ffc	05c20bfff1e01c81d2bc676817167fce5034e93eab4ac464bad1377e93d24ffc	85355720	85355748	1	fd6beb83491f6ce71af4ef037960754d50be356fbd86c7404ebae63751b056a0	fd6beb83491f6ce71af4ef037960754d50be356fbd86c7404ebae63751b056a0	0.9997222222222222	0.9997222222222222	PASS
