dataset	input_clusters	input_reads	reads_sha256	original_truth_clusters	effective_truth_clusters	truth_only_excluded	missing_truth	truth_scope_policy	original_truth_sha256	effective_truth_sha256	truth_only_ids_sha256	fixed_seed	thread_matrix	status
oligo0	1466	167546	73db92a57b6eef4e1a66fcd4448865977a7e03f03c213b9ebd54f1894aedb805	1466	1466	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	4f5892827cd6a03a641029c5ce657053185fa57eae68f9515fcde303345184b4	4f5892827cd6a03a641029c5ce657053185fa57eae68f9515fcde303345184b4	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
ncomms19_365dishes	2038	66804	1ad7369eb95ba9b681ef3fee74dd0316c469d134c65954a926e1a5b8d2ee86af	2038	2038	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	3c2f4ff13eb5e69ee4ad10063991baa2a0a13b207ac22a5acae69e0d86a19640	3c2f4ff13eb5e69ee4ad10063991baa2a0a13b207ac22a5acae69e0d86a19640	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
binned_nanopore	10000	213740	9700a8bad3aca40b071db22e944af8801263155dfcf5bfa41e6ff08c2ff3f663	10000	10000	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	3476f4f9b8b02642c0fa7c1edfbbbc79aa26b7ab5f32dd13ebd3c8cbf6bdcf06	3476f4f9b8b02642c0fa7c1edfbbbc79aa26b7ab5f32dd13ebd3c8cbf6bdcf06	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
microsoft_cnr	9984	269709	25557bcea1de73ab157e291caa624b1f097737ab15c09390f537faf99b72f8e1	9984	9984	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	c61de74c9a662e2db2694f2885171ae53f1b9847ab49ddffc4148863ae8516af	c61de74c9a662e2db2694f2885171ae53f1b9847ab49ddffc4148863ae8516af	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
trellisbma	7373	81103	56f093cf772884de994072aa797bc9a19527a772b439e59c856548a5db23a467	7373	7373	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	37d0679d72c03936e071c5f2fe663e909c79772b21fbb530a1d700d167ec9b5f	37d0679d72c03936e071c5f2fe663e909c79772b21fbb530a1d700d167ec9b5f	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
dnaformer_nanopore	109976	2354584	18e73b85d7d9a1e2391f8ac6b0a9913154635920f0d09bb8ef587ab713d9f586	109976	109976	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	9894e948454781f8081500c85f91f78fba3a7ead2c0fe9f115bc970a0b388a7d	9894e948454781f8081500c85f91f78fba3a7ead2c0fe9f115bc970a0b388a7d	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
dnaformer_illumina	109944	3183840	5a685cae736f37dc5d8cb15588580133e575fbf40bab685ad95886b5cdfd6670	109944	109944	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	4a9332dabffcd98c7599b85439f7d606f718682ffdda4b06e0bbac2f51455b6b	4a9332dabffcd98c7599b85439f7d606f718682ffdda4b06e0bbac2f51455b6b	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
zenodo10943282	91086	2436631	c48ec6877151224f900dc31d7f2b15e8c103ba6974c5b155132fe7e0a8bf3f6c	91766	91086	680	0	EXCLUDE_TRUTH_ONLY_NO_READS	5a19482996c96032ba5902e8e7288585870a958d63ca905da77ec832989cdd2e	ff018cb20ebb3d1c5605cb5b0f27750164072138bfd4fd648b1812a64224c7b8	93228d4f366d03291c17aa5252ffe8133b510e5bc7e260b7ef7c999191f3a4ef	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
err1816980_fountain	72000	14615663	1e283d20d047b77631cfeff4753a436ef353eeaadf25f9e6b1bc3d9e9e39c2e1	72000	72000	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	33fcbadcd52583bc9067fdec79bfa57eafe33049b823b0854eb0f7c3188c3d9d	33fcbadcd52583bc9067fdec79bfa57eafe33049b823b0854eb0f7c3188c3d9d	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
err1816980_official	72000	32230998	53942b14fca9735e88c5b0b13d4ba6c5107a7755dbeeb6c0288b99009584c04b	72000	72000	0	0	EXCLUDE_TRUTH_ONLY_NO_READS	33fcbadcd52583bc9067fdec79bfa57eafe33049b823b0854eb0f7c3188c3d9d	33fcbadcd52583bc9067fdec79bfa57eafe33049b823b0854eb0f7c3188c3d9d	NOT_APPLICABLE	6c2f91a47bd803e52a9c14f8d730be65	1,4,16,20,32	PASS
